sub task y
1 1 57.65
1 1 25.1
2 1 50.2
2 1 109.02
3 1 42.35
3 1 49.41
4 1 37.25
4 1 43.53
5 1 54.9
5 1 37.65
6 1 50.59
6 1 45.1
7 1 43.92
7 1 56.08
8 1 58.82
8 1 67.06
9 1 36.86
9 1 34.9
10 1 41.18
10 1 38.43
11 1 49.41
11 1 43.92
12 1 48.63
12 1 34.9
13 1 36.86
13 1 47.06
14 1 35.69
14 1 62.35
15 1 40.39
15 1 29.41
16 1 34.9
16 1 37.25
17 1 53.33
17 1 41.18
18 1 60.78
18 1 63.14
19 1 82.35
19 1 85.49
20 1 47.84
20 1 29.8
21 1 46.27
21 1 33.73
22 1 35.29
22 1 49.8
23 1 40.78
23 1 46.27
24 1 43.53
24 1 45.1
25 1 32.55
25 1 41.57
1 2 67.06
1 2 72.55
2 2 185.1
2 2 190.98
3 2 78.04
3 2 53.73
4 2 78.43
4 2 75.29
5 2 97.65
5 2 160.39
6 2 74.9
6 2 83.53
7 2 100.39
7 2 101.96
8 2 154.51
8 2 90.59
9 2 71.37
9 2 82.75
10 2 81.96
10 2 72.16
11 2 85.88
11 2 67.45
12 2 93.33
12 2 78.43
13 2 59.61
13 2 60.78
14 2 93.73
14 2 94.12
15 2 45.88
15 2 37.65
16 2 83.14
16 2 90.2
17 2 146.27
17 2 149.02
18 2 131.37
18 2 166.27
19 2 176.47
19 2 160.78
20 2 73.73
20 2 54.12
21 2 120
21 2 37.25
22 2 82.35
22 2 67.45
23 2 76.47
23 2 107.45
24 2 136.86
24 2 124.71
25 2 107.06
25 2 64.31
